Rank	Player	Country	Min rating	Med rating	Max rating
767	ぼの	Japan	0.68	1.28	2.39
768	シシャモ	Japan	0.68	0.78	0.90
769	syy	Japan	0.68	1.05	1.63
770	R.I.	Japan	0.68	1.02	1.54
771	BrouH	France	0.68	0.70	0.72
772	しゅん	Japan	0.68	1.23	2.24
773	Goo	Japan	0.68	0.73	0.80
774	かにみそ	Japan	0.68	1.81	4.83
775	もっさん	Japan	0.67	0.81	0.97
776	amary	Japan	0.67	1.17	2.04
777	のーり	Japan	0.67	0.71	0.75
778	Rà-àkõ-st	Japan	0.67	1.32	2.59
779	かんぢぃ	Japan	0.67	0.74	0.81
780	あか	Japan	0.67	1.42	3.01
781	しるびぃ	Japan	0.67	0.76	0.86
782	teeeeeep	Japan	0.67	1.05	1.65
783	あらしやま	Japan	0.67	1.07	1.71
784	kairu	Japan	0.67	1.52	3.48
785	A_Carbancle	Japan	0.66	0.86	1.11
786	ライサム	Japan	0.66	0.75	0.84
787	みずなし	Japan	0.66	1.03	1.61
788	へるしぃhellC	Japan	0.66	0.85	1.09
789	赤ちゃん	Japan	0.66	0.71	0.77
790	ぺころじー	Japan	0.66	0.83	1.06
791	ノノ§	Japan	0.65	0.78	0.93
792	今夜の山田	Japan	0.65	0.89	1.22
793	Ψ56	Japan	0.65	0.68	0.71
794	C	Japan	0.65	0.71	0.78
795	くらむ	Japan	0.65	0.73	0.82
796	。。	Japan	0.65	1.17	2.10
797	RoryTheFiend	United Kingdom	0.65	0.88	1.20
798	Wizzkidwas	United Kingdom	0.65	0.88	1.20
799	しょうゆの人	Japan	0.65	0.98	1.49
800	ココア飲みたいちゃん	Japan	0.65	1.17	2.10
801	もりもん	Japan	0.64	0.73	0.82
802	ソフトさかす	Japan	0.64	0.70	0.78
803	ジョニー	Japan	0.64	0.70	0.78
804	necro	Japan	0.64	0.69	0.75
805	さかな	Japan	0.64	0.71	0.80
806	さたけ	Japan	0.63	0.90	1.28
807	はらぺろ	Japan	0.63	1.18	2.19
808	おこめ	Japan	0.63	1.07	1.84
809	カイル	Japan	0.63	0.89	1.27
810	ぶくあわ	Japan	0.62	0.70	0.78
811	Aurel509	France	0.62	0.64	0.65
812	ますろご	Japan	0.62	1.07	1.83
813	せんじゅ	Japan	0.62	0.63	0.64
814	りんご	Japan	0.61	1.06	1.84
815	マグヌスニキ	Japan	0.61	0.63	0.65
816	さいだーかん	Japan	0.61	0.66	0.70
817	ぼんた	Japan	0.61	0.66	0.71
818	ぴんく	Japan	0.61	1.33	2.92
819	だめけん	Japan	0.61	0.63	0.66
820	びーぷる	Japan	0.60	1.38	3.16
821	qsona	Japan	0.60	0.66	0.73
822	魔導師のタマゴ🌤️	Japan	0.60	1.38	3.15
823	たゃ	Japan	0.60	0.81	1.09
824	ちくさん	Japan	0.60	1.41	3.31
825	sb420	USA	0.60	0.82	1.12
826	Luxr4y	France	0.60	0.64	0.69
827	夕暮れあかさん	Japan	0.59	0.66	0.74
828	線らいん	Japan	0.59	0.62	0.66
829	ゆきひら	Japan	0.59	0.79	1.06
830	しいなつばさ	Japan	0.59	0.63	0.66
831	Eduardo	USA	0.59	0.70	0.82
832	singen777	Japan	0.59	0.65	0.72
833	donpachi	Japan	0.59	0.88	1.33
834	ぐるぐる	Taiwan	0.59	0.91	1.39
835	ますぶち　ゆき	Japan	0.59	0.72	0.87
836	らりる	Japan	0.59	0.89	1.36
837	やもり	Japan	0.59	0.62	0.66
838	akkii	Japan	0.59	0.73	0.91
839	りんしゃん	Japan	0.58	1.10	2.08
840	j1m	USA	0.58	0.69	0.82
841	anon.	Japan	0.58	0.68	0.79
842	hiroki	Japan	0.58	0.63	0.68
843	松田	Japan	0.58	0.76	1.00
844	うつぼ	Japan	0.58	0.94	1.52
845	mepy	Japan	0.58	0.84	1.21
846	くー	Japan	0.58	0.88	1.35
847	ぞうさん	Japan	0.58	1.01	1.75
848	ちょろちょろ	Japan	0.58	0.98	1.66
849	toたぬき	Japan	0.58	0.69	0.84
850	けーい	Japan	0.57	0.62	0.67
851	あ	Japan	0.57	0.80	1.11
852	アンズ	Japan	0.57	0.77	1.04
853	ながこ♪	Japan	0.57	0.64	0.72
854	カワハギ	Japan	0.57	1.16	2.38
855	Mors	Japan	0.57	0.83	1.22
856	Rei	Japan	0.57	0.62	0.68
857	しえる	Japan	0.57	0.96	1.64
858	19	Japan	0.56	0.77	1.05
859	azerty	France	0.56	0.70	0.86
860	Canbe	Japan	0.56	0.65	0.75
861	レモン	Japan	0.56	0.79	1.11
862	Tetsu	Japan	0.56	0.63	0.72
863	かっちゃん	Japan	0.56	0.58	0.61
864	あずま	Japan	0.55	0.61	0.67
865	Tim	Japan	0.55	0.82	1.22
866	Cyclo	Japan	0.55	0.57	0.59
867	きっと	Japan	0.55	0.86	1.36
868	Liesam	Japan	0.55	0.97	1.70
869	リオン	Japan	0.55	0.63	0.71
870	アヒャッ！(゜∀゜)	Japan	0.55	0.68	0.84
871	ネギドロ	Japan	0.54	0.76	1.07
872	シークレット	Japan	0.54	0.64	0.75
873	クックー	Japan	0.54	0.84	1.30
874	くろつー	Japan	0.54	0.76	1.06
875	たまごっつ	Japan	0.54	0.75	1.05
876	しお	Japan	0.54	0.83	1.28
877	サボリ	Japan	0.54	0.61	0.69
878	しょごぼろ	Japan	0.54	0.74	1.01
879	あやせえり	Japan	0.54	0.61	0.70
880	やまあらし	Japan	0.53	0.93	1.62
881	くろあめ	Japan	0.53	0.59	0.66
882	かめかにかえる	Japan	0.53	0.60	0.68
